id,name,variations
1,Double Knee Drop,
2,The Buddha,
3,Dragonfly,
4,Double Couch,
5,Chest stand,
6,Bird on Hands,
7,High Foot-to-Hand,
8,Super-Free Shoulder Stand,
9,Mono-Limb Reverse Star,
10,Double-Base Hand to Hand,
11,Hand-to-Hand,
12,Star,
13,Heart to Knees,
14,Leaf Twist,
15,Leaf Stretch,
16,Spoon,
17,Back Bow,
18,Hammock,
19,Bat,
20,Pasarita Twist,
21,Whaka Stretch,
22,Table Top,
23,Bound Twist,
24,Heart to Shin,
25,Heart to Hands,
26,Super Natural,
27,Reverse Prayer,
28,Scare Crow,
29,Super Yogi Twist,
30,Care Bear Stare,
31,Reverse Bat,
32,Folded Leaf,
33,Navasana,
34,Super Yogi,
35,Floating Camel,
36,Reverse Throne,
37,Hangle Dangle,
38,Reverse Tuck Sit,
39,Reverse Couch,
40,Tuck Sit,
41,Reverse Vishnu’s Couch,
42,Back Plank,
43,Floating Pashi,
44,Low Foot-to-Hand,
45,Reverse Back Plank,
46,Reverse Tittibhasana,
47,Tittibhasana,
48,Whale,
49,Mermaid,
50,Reverse Shoulder Stand,
51,Foot-to-Foot,
52,Back Bird,
53,Bow,
54,Throne,
55,Nataraj,
56,Little Mermaid,
57,Low hand-to-hand,
58,Vishnu’s Couch,
59,Couch,
60,Front Plank,free
61,Croc,
62,Inside Side Star,
63,Reverse Star,
64,Photo by Brian Cruikshank,
65,Free Shoulder Stand,
66,Straddle Bat,
